# HECHOS — A1 (id | tema)
A1 | Verb To Be — Nationalities | tiempo_verbal, 14 países, tabla am/is/are
B1 | B1 Grand Review — All Topics Together | joined_exercise, historia de Abuela Carmen (mangos a García Márquez 1982, concurso de cumbia 1975), 18 ejercicios (5/8/5), cierre de nivel
B2 | Relative Clauses — Non-Defining & Advanced Structures | clausulas_relativas, whose/where/when, omisión de pronombre en defining, error calco 'that' con comas en non-defining, Kenji/Sofía describiendo Medellín
B2 | Reported Speech — Statements, Questions & Commands | tiempo_verbal, backshift de tiempos, orden de reported questions sin inversión, continúa la historia del teléfono perdido de Ben
B2 | Modals of Deduction — Present (must / might / can't) | modales, deducción positiva vs negativa, error clásico 'mustn't' para negar deducción (es 'can't')
B2 | Modals of Deduction — Past (must have / might have / can't have) | modales, participio obligatorio tras 'have', combina con deducción presente, teléfono perdido de Ben otra vez
B2 | Modals of Obligation — Past (had to / didn't have to / needn't have) | modales, no-obligación vs prohibición (mustn't), matiz needn't have vs didn't need to
B2 | Causative — Have / Get Something Done | tiempo_verbal, orden de palabras (no lo hizo el sujeto), Sofía delegando en su estudio de diseño
B2 | Third Conditional — If I Had Known | tiempo_verbal, past perfect obligatorio en el if-clause, Ben imaginando cómo evitar perder el teléfono
B2 | Mixed Conditionals | tiempo_verbal, pasado+presente cruzados, Abuela Carmen y los mangos a García Márquez como origen de su negocio actual
B2 | Wish / If Only — Regrets & Change | tiempo_verbal, wish+past simple (yo) vs wish+would (otros), cierre de la columna gramatical B2 con los 4 personajes
B2 | Phrasal Verbs — GET: One Verb, Many Meanings | vocabulario, tema introductorio, get up/away with/on/over/through/by, la partícula cambia el significado
B2 | Phrasal Verbs with UP | vocabulario, wake/grow/give/look/show/end up
B2 | Phrasal Verbs with DOWN | vocabulario, calm/let/break/turn/write/slow down
B2 | Phrasal Verbs with OUT | vocabulario, find/work/run/figure/hand/stand out
B2 | Phrasal Verbs with ON vs OFF | vocabulario, turn on/off, carry on, call off, count on, put off — contraste de opuestos
B2 | Linking Words — Contrast, Addition, Cause, Result & More | funcional_skills, agrupado por función pragmática (contraste/adición/ejemplificación/causa/consecuencia/cierre)
B2 | Idioms — Money & Business | vocabulario, narrado por Abuela Carmen (30 años vendiendo mangos), contraste literal vs idiomático
B2 | Idioms — Time & Effort | vocabulario, narrado por Abuela Carmen, Kenji estudioso vs Ben contrarreloj
C1 | Subjunctive — Formal & Literary Register (C1–C2) | modales (mandativo + formulaico), If I were you, so be it, tambien_valido con 'should + verb'
C1 | Cleft Sentences — It-Clefts & What-Clefts | tiempo_verbal, It was Ben who..., What I need is...
C1 | Inversion for Emphasis | tiempo_verbal, Never have I, Not only... but also, Should you need
C1 | Gerund Clauses as Subject | tiempo_verbal, your/you being late, registro formal vs informal del sujeto
C1 | Participle Clauses | tiempo_verbal, reducir relativas/adverbiales con -ing/-ed, Having finished...
C1 | Emphatic Structures — do/does/did & so/such | tiempo_verbal, I DO understand, such a good day that...
C1 | Advanced Passive — Reporting Verbs & Passive Infinitives | tiempo_verbal, It is said that..., believed to have
C1 | Future in the Past | tiempo_verbal, was going to, would como futuro-en-pasado, future perfect continuous
C1 | Ellipsis & Substitution | tiempo_verbal, so can I, I think so / I hope not
C1 | Would Rather / Would Prefer | modales, bare infinitive vs subject+past simple, to-infinitive
C1 | Register & Style — Formal vs Informal Rewriting (C1–C2, capstone) | funcional_skills, reescribir el mismo texto en registro distinto
